sample_id,source,ionizable_lipid,helper_lipid,cell_line,cargo,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,IL_mol_pct,Frac_sp3C,NP_ratio,size_nm,zeta_mV,PDI,pKa,MW_IL,n_amines,transfection_pct,efficacy_binary,efficacy_label
LNP_05128,Jayaraman2012,DODAP,DPPC,HeLa,pDNA,44.52,10.53,2.58,42.37,0.5287,5.3,97.8,-3.94,0.1821,6.77,854.5,2,53.74,1,High
LNP_05129,Kauffman2015,cKK-E12,DPPC,PC3,ASO,38.68,13.75,1.05,46.53,0.3568,2.75,50.0,-16.29,0.0943,6.97,459.1,1,55.09,1,High
LNP_05130,Hassett2019,SM-102,DSPE,RAW264.7,siRNA,38.42,12.15,2.79,46.64,0.5432,4.95,118.1,-8.11,0.0705,7.04,607.4,1,54.94,1,High
LNP_05131,Miao2020,FTT5,DSPE,PC3,pDNA,34.48,18.5,0.65,46.37,0.2491,4.48,90.1,-5.97,0.1331,5.47,797.5,2,26.7,0,Low
LNP_05132,Moderna2021,FTT5,DOPE,PC3,siRNA,46.96,10.54,1.17,41.33,0.5349,5.25,125.5,-6.21,0.1389,6.99,621.6,2,32.22,0,Low
LNP_05133,Kulkarni2019,DOTAP,DOPC,A549,siRNA,34.23,15.63,0.61,49.53,0.5337,3.51,122.0,-7.0,0.1367,6.71,583.7,2,38.06,0,Low
LNP_05134,Moderna2021,LP01,DSPE,Huh7,siRNA,49.42,14.31,1.96,34.32,0.7306,5.48,110.3,-1.44,0.2703,6.12,750.5,3,28.11,0,Low
LNP_05135,Hassett2019,cKK-E12,DOPE,A549,pDNA,45.88,9.5,1.5,43.12,0.4475,8.62,129.0,-6.19,0.2079,7.41,667.2,4,18.68,0,Low
LNP_05136,Kulkarni2019,cKK-E12,DSPE,MCF7,mRNA,46.91,20.84,1.13,31.12,0.7652,4.31,70.0,-14.69,0.0838,5.39,433.0,4,6.6,0,Low
LNP_05137,Li2015,FTT5,DSPC,Jurkat,mRNA,43.47,13.34,2.02,41.16,0.5391,2.11,63.2,-9.24,0.0797,6.31,809.5,4,26.21,0,Low
LNP_05138,Miao2020,ALC-0315,DPPC,A549,siRNA,37.07,17.17,1.12,44.64,0.5722,4.23,56.1,-0.09,0.2016,6.0,700.5,2,39.86,0,Low
LNP_05139,Fenton2016,SM-102,DSPC,Jurkat,pDNA,41.99,11.9,1.21,44.9,0.5973,7.75,80.6,-9.3,0.2836,5.97,677.8,4,51.59,1,High
LNP_05140,Miao2020,ALC-0315,DSPE,PC3,mRNA,36.69,10.28,1.73,51.3,0.6523,2.94,84.4,-8.3,0.1164,6.69,509.4,1,59.94,1,High
LNP_05141,BioNTech2021,IM23,DSPE,MCF7,mRNA,41.93,13.63,1.28,43.15,0.5263,3.01,97.6,-15.13,0.2036,5.28,762.3,2,34.56,0,Low
LNP_05142,Sabnis2018,FTT5,DOPC,HeLa,siRNA,31.31,19.31,0.68,48.7,0.4336,8.99,62.8,-1.77,0.1832,7.45,635.6,2,8.75,0,Low
LNP_05143,Fenton2016,OF-02,DOPC,RAW264.7,mRNA,36.08,12.2,1.51,50.21,0.7271,2.17,95.9,-7.39,0.2311,6.44,519.3,4,57.32,1,High
LNP_05144,Jayaraman2012,FTT5,DSPE,Jurkat,siRNA,34.45,17.15,1.17,47.22,0.4789,7.34,61.9,5.83,0.1259,6.42,730.4,2,49.6,1,High
LNP_05145,Moderna2021,MC3,DPPC,Jurkat,pDNA,45.55,12.34,1.09,41.03,0.5379,11.87,118.0,-2.32,0.1508,6.83,511.3,3,19.83,0,Low
LNP_05146,Kauffman2015,Lipid5,DOPE,MCF7,mRNA,45.29,11.45,0.9,42.35,0.3341,5.57,58.4,-9.72,0.2371,5.47,655.2,1,31.88,0,Low
LNP_05147,Hassett2019,DODAP,DSPE,HEK293,mRNA,49.78,9.75,1.07,39.4,0.4304,3.31,58.9,-5.2,0.0852,6.37,631.6,2,25.26,0,Low
LNP_05148,Semple2010,DOTAP,DOPE,HeLa,siRNA,42.71,12.36,2.33,42.6,0.5758,4.03,86.2,-2.72,0.2169,6.3,642.1,3,62.4,1,High
LNP_05149,BioNTech2021,L319,DSPC,HEK293,pDNA,40.1,17.48,1.27,41.15,0.8331,3.8,70.7,14.23,0.1468,6.57,421.5,2,44.19,0,Low
LNP_05150,Miao2020,FTT5,DPPC,MCF7,siRNA,37.87,10.79,1.8,49.53,0.564,1.99,78.8,-3.48,0.2337,6.63,693.1,2,45.87,0,Low
LNP_05151,Moderna2021,A2-Iso5-2DC18,DOPC,Huh7,siRNA,40.37,15.21,0.97,43.45,0.4508,4.13,131.2,4.01,0.0976,6.32,560.0,2,69.69,1,High
LNP_05152,Sabnis2018,cKK-E12,DOPC,HEK293,pDNA,39.4,10.44,1.77,48.4,0.4933,5.03,102.6,-13.06,0.0555,6.43,725.4,3,42.41,0,Low
LNP_05153,BioNTech2021,OF-02,DOPE,MCF7,siRNA,35.45,12.2,2.3,50.04,0.6536,2.1,144.9,-5.49,0.1566,6.22,761.9,2,61.36,1,High
LNP_05154,Oberli2017,C12-200,DOPE,HeLa,siRNA,44.92,10.91,1.11,43.06,0.6587,9.83,74.3,-12.67,0.1605,6.09,654.3,2,44.04,0,Low
LNP_05155,Moderna2021,LP01,DOPE,Huh7,mRNA,39.97,12.59,1.36,46.08,0.7421,2.25,100.2,-14.13,0.1777,5.39,765.8,2,56.66,1,High
LNP_05156,Moderna2021,Lipid5,DSPE,A549,siRNA,49.32,15.57,1.45,33.66,0.7298,4.08,100.7,0.55,0.1699,6.53,498.4,1,57.68,1,High
LNP_05157,Semple2010,FTT5,DOPE,RAW264.7,siRNA,46.01,13.7,1.19,39.1,0.5962,7.63,56.1,-5.89,0.2267,5.29,635.2,2,44.35,1,High
LNP_05158,Moderna2021,Lipid5,DSPE,PC3,ASO,35.17,12.08,0.62,52.14,0.7584,2.84,107.7,-11.98,0.1411,5.95,468.1,2,58.51,1,High
LNP_05159,Semple2010,SM-102,DPPC,RAW264.7,mRNA,44.25,14.23,1.96,39.56,0.5917,7.76,103.9,-4.21,0.139,7.55,522.5,1,53.38,1,High
LNP_05160,Moderna2021,DOTAP,DOPC,A549,mRNA,46.06,16.64,2.97,34.33,0.3778,2.79,73.5,-15.58,0.184,6.14,733.6,1,31.4,0,Low
LNP_05161,Patel2017,C12-200,DOPC,RAW264.7,siRNA,47.82,15.97,1.69,34.52,0.5898,6.56,72.3,5.4,0.2438,5.67,623.9,3,44.44,0,Low
LNP_05162,Hassett2019,cKK-E12,DOPE,Jurkat,pDNA,44.5,10.41,2.53,42.56,0.6864,6.99,92.2,11.21,0.1351,6.95,632.1,3,35.41,0,Low
LNP_05163,Whitehead2014,ALC-0315,DSPE,RAW264.7,mRNA,45.34,16.09,1.33,37.24,0.7828,4.84,78.6,-3.63,0.178,6.6,734.4,1,21.82,0,Low
LNP_05164,Oberli2017,A2-Iso5-2DC18,DOPE,A549,mRNA,40.45,11.96,0.71,46.87,0.7638,3.83,80.6,-4.8,0.108,6.71,843.7,1,55.77,1,High
LNP_05165,Kauffman2015,Lipid5,DOPE,A549,pDNA,37.63,12.17,2.18,48.02,0.7225,3.75,77.6,10.26,0.1011,6.34,615.8,1,65.38,1,High
LNP_05166,Semple2010,DLin-MC3-DMA,DOPC,Huh7,pDNA,46.99,16.13,3.51,33.37,0.6573,3.29,87.7,-8.61,0.21,7.25,615.1,2,15.24,0,Low
LNP_05167,Patel2017,A2-Iso5-2DC18,DSPC,HeLa,ASO,41.11,14.81,1.18,42.91,0.4857,6.71,119.5,-9.34,0.1419,7.25,718.2,2,35.35,0,Low
LNP_05168,Whitehead2014,ALC-0315,DSPE,Huh7,ASO,49.31,12.73,0.87,37.1,0.7128,4.53,96.3,-2.41,0.1299,6.36,482.6,2,57.53,1,High
LNP_05169,Oberli2017,MC3,DSPE,RAW264.7,siRNA,49.57,14.91,2.7,32.82,0.459,6.54,139.5,-5.21,0.1012,6.51,615.9,2,61.41,1,High
LNP_05170,Whitehead2014,DLin-MC3-DMA,DOPE,MCF7,pDNA,52.35,11.03,2.64,33.98,0.7637,7.12,98.2,-12.55,0.1829,5.92,535.0,2,52.76,1,High
LNP_05171,Moderna2021,LP01,DSPE,MCF7,mRNA,40.48,11.6,4.18,43.74,0.5925,7.92,108.0,-3.5,0.15,5.64,846.0,2,31.25,0,Low
LNP_05172,Patel2017,DODAP,DOPE,HEK293,pDNA,45.88,14.81,3.53,35.78,0.6179,1.01,107.1,-7.62,0.126,7.15,688.9,4,5.99,0,Low
LNP_05173,Jayaraman2012,cKK-E12,DSPC,Jurkat,pDNA,38.9,13.41,2.19,45.51,0.3659,8.77,70.8,-0.3,0.2268,6.71,521.5,3,67.11,1,High
LNP_05174,Li2015,FTT5,DOPE,A549,mRNA,50.7,13.7,0.53,35.08,0.2603,4.96,88.5,0.21,0.311,6.09,723.4,1,16.55,0,Low
LNP_05175,BioNTech2021,L319,DOPE,HeLa,mRNA,45.26,13.68,1.83,39.23,0.7022,6.66,107.0,0.75,0.0855,6.29,509.8,1,61.95,1,High
LNP_05176,Semple2010,A2-Iso5-2DC18,DSPE,PC3,siRNA,40.73,14.42,1.94,42.91,0.4925,4.24,76.1,-4.11,0.1728,7.08,696.5,3,54.39,1,High
LNP_05177,Kauffman2015,L319,DSPE,HEK293,mRNA,43.69,16.83,0.94,38.53,0.4963,5.45,109.6,3.44,0.0766,6.47,890.5,2,31.62,0,Low
LNP_05178,Hassett2019,C12-200,DSPE,A549,pDNA,46.26,13.02,2.09,38.63,0.5208,5.91,50.5,7.02,0.0929,6.78,585.0,2,47.35,0,Low
LNP_05179,Whitehead2014,DOTAP,DOPE,Jurkat,siRNA,30.02,16.53,0.69,52.76,0.5461,3.46,89.8,-3.41,0.103,6.85,472.9,2,36.25,0,Low
LNP_05180,Miao2020,cKK-E12,DPPC,HeLa,pDNA,32.33,16.93,2.5,48.24,0.4926,3.29,141.7,-1.43,0.1492,7.06,350.0,3,36.83,0,Low
LNP_05181,Patel2017,OF-02,DOPE,MCF7,pDNA,44.24,16.75,1.39,37.61,0.5038,3.95,111.2,6.85,0.1675,7.29,420.5,1,49.26,1,High
LNP_05182,Li2015,A2-Iso5-2DC18,DPPC,A549,ASO,39.3,14.42,1.53,44.75,0.5128,7.92,96.8,-26.34,0.1281,5.69,685.3,2,48.98,1,High
LNP_05183,Moderna2021,IM23,DOPE,A549,siRNA,35.16,12.78,1.5,50.56,0.51,3.59,54.0,-19.17,0.1884,5.77,802.9,2,49.57,0,Low
LNP_05184,Patel2017,DLin-MC3-DMA,DOPC,Jurkat,mRNA,40.38,13.44,2.05,44.14,0.594,6.27,91.6,-2.11,0.1262,7.18,661.4,2,52.37,1,High
LNP_05185,Sabnis2018,C12-200,DPPC,MCF7,ASO,40.57,11.22,2.61,45.6,0.5733,3.41,66.6,-0.87,0.082,5.59,633.8,2,37.88,0,Low
LNP_05186,Jayaraman2012,C12-200,DSPE,A549,mRNA,42.41,14.15,2.14,41.3,0.6006,14.17,97.0,-4.06,0.1041,6.73,633.9,3,33.82,0,Low
LNP_05187,Semple2010,ALC-0315,DPPC,HEK293,mRNA,36.81,16.07,1.88,45.23,0.5445,6.33,54.6,-12.84,0.0875,8.28,822.7,2,27.26,0,Low
LNP_05188,Kulkarni2019,IM23,DOPC,A549,mRNA,35.94,12.35,1.07,50.64,0.5387,6.09,110.0,-8.2,0.072,6.35,651.8,2,59.74,1,High
LNP_05189,Sabnis2018,C12-200,DOPC,Jurkat,siRNA,50.47,16.71,1.48,31.34,0.7057,1.79,106.6,-19.78,0.1169,6.47,512.4,2,50.35,0,Low
LNP_05190,Dahlman2014,DOTAP,DOPE,A549,siRNA,45.25,16.99,2.24,35.52,0.6773,2.76,126.5,8.72,0.16,6.56,517.4,3,51.43,1,High
LNP_05191,Dahlman2014,DOTAP,DPPC,Huh7,mRNA,47.41,12.92,1.75,37.92,0.6854,5.32,85.9,-3.55,0.0721,7.41,372.7,2,28.21,0,Low
LNP_05192,Jayaraman2012,MC3,DPPC,Jurkat,pDNA,46.61,13.42,1.65,38.32,0.5755,7.79,158.5,0.74,0.1072,7.6,571.1,4,40.53,0,Low
LNP_05193,Jayaraman2012,DODAP,DOPE,RAW264.7,pDNA,41.01,11.84,1.47,45.68,0.4731,6.2,73.1,-7.84,0.2093,6.07,751.7,2,51.26,1,High
LNP_05194,Dahlman2014,Lipid5,DSPE,RAW264.7,mRNA,39.7,13.92,2.05,44.33,0.48,9.66,89.4,-12.57,0.1354,6.14,657.5,1,28.19,0,Low
LNP_05195,Fenton2016,cKK-E12,DSPE,PC3,siRNA,38.47,17.14,1.36,43.02,0.4604,7.81,90.8,-6.48,0.1627,6.48,735.3,2,66.59,1,High
LNP_05196,Kulkarni2019,ALC-0315,DOPE,MCF7,mRNA,41.45,10.06,1.71,46.78,0.5684,4.22,80.1,-4.59,0.1823,6.64,599.0,4,73.78,1,High
LNP_05197,Semple2010,FTT5,DSPE,RAW264.7,siRNA,42.64,10.56,2.03,44.77,0.5558,3.5,80.9,5.43,0.086,6.64,575.7,1,35.11,0,Low
LNP_05198,Whitehead2014,L319,DOPE,HEK293,siRNA,48.09,16.5,0.7,34.71,0.4823,6.7,139.5,-7.99,0.1974,7.77,694.0,2,25.56,0,Low
LNP_05199,Whitehead2014,DODAP,DSPC,A549,siRNA,37.54,11.95,1.63,48.87,0.5204,4.57,127.7,6.4,0.2327,6.15,594.0,1,88.52,1,High
LNP_05200,Miao2020,LP01,DPPC,Huh7,siRNA,31.82,11.23,2.17,54.78,0.314,2.17,92.9,-0.08,0.1614,4.69,382.2,2,10.97,0,Low
LNP_05201,Miao2020,A2-Iso5-2DC18,DOPE,PC3,siRNA,33.79,11.76,1.48,52.97,0.3439,7.14,50.0,-12.49,0.3128,6.16,434.6,4,45.83,1,High
LNP_05202,Sabnis2018,DOTAP,DSPC,Jurkat,mRNA,35.04,8.85,0.93,55.18,0.7715,1.25,86.1,-15.92,0.1936,6.89,845.5,1,22.21,0,Low
LNP_05203,Li2015,A2-Iso5-2DC18,DOPC,HEK293,siRNA,33.5,11.92,2.07,52.51,0.2361,5.77,80.6,-6.27,0.1076,7.41,473.3,1,43.94,0,Low
LNP_05204,Whitehead2014,IM23,DOPE,HeLa,pDNA,45.87,19.9,1.56,32.66,0.4597,4.11,100.7,-7.4,0.1963,7.51,680.3,2,31.16,0,Low
LNP_05205,Jayaraman2012,ALC-0315,DSPC,HEK293,mRNA,45.16,16.66,1.23,36.95,0.5873,6.66,50.0,-5.64,0.1266,6.75,562.4,1,41.47,0,Low
LNP_05206,BioNTech2021,LP01,DSPC,MCF7,mRNA,39.21,12.41,1.95,46.43,0.4347,5.77,67.4,-14.99,0.1025,5.94,645.7,2,37.56,0,Low
LNP_05207,Jayaraman2012,cKK-E12,DOPC,HeLa,pDNA,49.98,13.03,1.74,35.25,0.3945,3.78,89.1,-8.92,0.1092,6.78,798.7,1,48.23,1,High
LNP_05208,Li2015,LP01,DOPC,RAW264.7,mRNA,36.71,17.12,1.95,44.22,0.5994,5.14,68.2,-1.02,0.2091,6.43,537.2,2,54.28,1,High
LNP_05209,Dahlman2014,cKK-E12,DOPC,A549,siRNA,51.58,20.27,2.85,25.3,0.6364,8.28,50.0,-5.25,0.061,6.72,900.4,2,33.28,0,Low
LNP_05210,Sabnis2018,SM-102,DOPC,HeLa,pDNA,41.18,15.69,1.0,42.13,0.5847,2.41,106.0,-15.06,0.1564,5.41,735.7,1,57.28,1,High
LNP_05211,Kauffman2015,MC3,DSPE,Huh7,pDNA,48.07,11.68,2.13,38.11,0.7083,2.93,78.1,-11.92,0.0668,6.99,850.4,3,53.93,1,High
LNP_05212,Semple2010,ALC-0315,DSPC,MCF7,mRNA,40.07,14.5,2.71,42.72,0.5366,3.86,82.6,0.66,0.0662,6.19,504.2,4,43.22,0,Low
LNP_05213,Hassett2019,DOTAP,DOPE,A549,mRNA,39.62,14.86,1.4,44.12,0.6149,1.7,103.0,0.36,0.1787,6.47,528.4,1,51.68,1,High
LNP_05214,Semple2010,OF-02,DSPE,PC3,mRNA,49.82,10.81,0.81,38.56,0.4579,1.61,81.9,-0.08,0.2832,5.32,819.5,2,5.07,0,Low
LNP_05215,Li2015,MC3,DOPE,Jurkat,mRNA,36.38,12.79,1.47,49.36,0.264,5.95,81.5,-9.25,0.1018,5.57,704.2,3,47.29,0,Low
LNP_05216,Moderna2021,cKK-E12,DPPC,Huh7,mRNA,41.62,16.99,2.12,39.27,0.7183,4.69,110.5,-6.0,0.0596,6.54,789.4,2,50.49,1,High
LNP_05217,Li2015,ALC-0315,DPPC,Jurkat,ASO,46.77,11.38,1.04,40.81,0.5052,7.76,52.7,0.43,0.2223,6.48,678.2,4,59.36,1,High
LNP_05218,Oberli2017,IM23,DOPC,HEK293,mRNA,36.85,15.9,1.42,45.83,0.6459,11.43,50.0,3.67,0.1025,6.49,801.9,2,50.09,1,High
LNP_05219,Li2015,IM23,DPPC,HeLa,pDNA,42.31,9.83,0.72,47.15,0.5963,2.56,61.1,-1.98,0.0815,6.78,584.5,1,26.77,0,Low
LNP_05220,Li2015,LP01,DPPC,A549,mRNA,36.0,14.27,2.9,46.84,0.4904,5.09,83.9,-4.8,0.1118,6.3,683.7,3,30.49,0,Low
LNP_05221,Hassett2019,L319,DOPE,MCF7,siRNA,45.35,14.48,2.47,37.7,0.6018,4.8,122.1,-8.18,0.0826,5.86,653.6,2,32.78,0,Low
LNP_05222,Moderna2021,cKK-E12,DOPE,HeLa,ASO,46.17,12.94,1.93,38.96,0.4862,3.71,86.3,-1.77,0.0968,6.67,751.2,2,32.63,0,Low
LNP_05223,Jayaraman2012,C12-200,DSPE,Huh7,mRNA,37.8,13.98,0.78,47.44,0.5269,17.01,142.7,-1.09,0.1515,5.68,675.6,2,24.72,0,Low
LNP_05224,Whitehead2014,OF-02,DSPC,RAW264.7,siRNA,39.71,11.89,1.52,46.89,0.4878,2.16,78.4,-9.62,0.1466,4.88,586.2,2,12.39,0,Low
LNP_05225,Patel2017,C12-200,DSPC,Huh7,pDNA,45.83,11.23,1.53,41.41,0.5716,4.78,106.0,-12.62,0.1165,7.84,550.2,2,7.19,0,Low
LNP_05226,Hassett2019,MC3,DOPE,HeLa,siRNA,40.12,13.0,2.99,43.89,0.6199,5.64,104.7,-16.52,0.216,5.78,587.9,3,56.16,1,High
LNP_05227,Oberli2017,A2-Iso5-2DC18,DSPC,Jurkat,siRNA,36.32,10.27,1.96,51.45,0.4339,3.72,61.1,-28.74,0.3237,6.83,534.3,4,46.7,0,Low
LNP_05228,Sabnis2018,LP01,DOPC,Jurkat,mRNA,45.45,18.53,2.48,33.53,0.5651,2.96,67.5,4.37,0.1176,6.08,748.4,3,50.31,1,High
LNP_05229,Dahlman2014,MC3,DOPE,PC3,pDNA,42.38,10.37,1.55,45.69,0.5468,6.58,122.1,-8.25,0.2293,5.29,791.4,2,56.86,1,High
LNP_05230,Kulkarni2019,FTT5,DSPE,HeLa,mRNA,40.55,10.82,1.59,47.04,0.575,3.67,58.3,8.05,0.2811,5.34,642.7,2,37.54,0,Low
LNP_05231,Dahlman2014,cKK-E12,DSPE,A549,pDNA,44.71,19.64,1.34,34.31,0.6828,5.63,53.9,-2.52,0.0671,6.25,791.2,2,49.54,0,Low
LNP_05232,Dahlman2014,LP01,DSPC,Jurkat,mRNA,43.88,13.76,0.86,41.5,0.4474,2.89,125.1,-16.82,0.1028,5.89,669.5,1,58.64,1,High
LNP_05233,Jayaraman2012,ALC-0315,DOPC,HeLa,siRNA,42.09,12.78,1.29,43.83,0.5421,9.23,63.3,-13.66,0.1195,6.34,760.1,2,40.87,0,Low
LNP_05234,Moderna2021,SM-102,DSPE,PC3,mRNA,45.41,9.89,1.74,42.96,0.505,4.98,67.5,-12.71,0.1176,6.37,603.3,1,32.15,0,Low
LNP_05235,Hassett2019,LP01,DSPE,MCF7,siRNA,42.08,16.66,1.04,40.22,0.576,1.89,87.2,0.78,0.1085,6.8,826.2,2,53.05,1,High
LNP_05236,Dahlman2014,Lipid5,DSPE,Jurkat,siRNA,42.93,12.08,0.6,44.4,0.7318,5.55,81.2,-8.99,0.0765,6.53,571.7,2,36.21,0,Low
LNP_05237,Hassett2019,SM-102,DOPE,PC3,mRNA,42.0,14.65,1.44,41.91,0.508,4.72,50.3,1.46,0.1075,6.78,839.1,1,63.32,1,High
LNP_05238,Oberli2017,L319,DOPC,RAW264.7,mRNA,42.17,18.34,1.27,38.22,0.5284,4.29,56.7,1.8,0.1141,6.78,697.0,2,39.99,0,Low
LNP_05239,Semple2010,cKK-E12,DSPC,Jurkat,ASO,41.06,11.73,2.23,44.97,0.8101,3.68,71.8,-4.5,0.3174,6.37,725.0,2,46.12,1,High
LNP_05240,Li2015,DODAP,DPPC,Jurkat,pDNA,45.13,14.79,1.47,38.61,0.6043,3.25,72.2,-11.18,0.2466,6.4,622.1,4,48.43,1,High
LNP_05241,Kauffman2015,DODAP,DOPE,Jurkat,siRNA,41.41,18.37,1.54,38.68,0.6948,4.98,133.4,-15.19,0.0664,6.27,562.0,1,60.17,1,High
LNP_05242,Whitehead2014,SM-102,DOPC,Jurkat,mRNA,34.1,15.81,1.53,48.56,0.6155,8.56,119.1,-16.49,0.117,7.37,616.9,3,57.75,1,High
LNP_05243,Jayaraman2012,A2-Iso5-2DC18,DSPC,RAW264.7,pDNA,33.37,13.55,1.07,52.02,0.4237,2.58,92.2,-7.09,0.2019,7.18,740.0,2,39.96,0,Low
LNP_05244,Dahlman2014,A2-Iso5-2DC18,DOPE,PC3,mRNA,37.61,10.4,1.75,50.25,0.3213,6.28,93.4,-8.98,0.148,7.28,706.9,2,35.77,0,Low
LNP_05245,Miao2020,DLin-MC3-DMA,DOPE,RAW264.7,siRNA,35.41,19.84,3.34,41.41,0.4293,5.24,86.3,-3.79,0.1082,6.7,716.3,2,64.58,1,High
LNP_05246,Miao2020,Lipid5,DSPE,Huh7,siRNA,49.13,14.83,1.65,34.39,0.5605,6.67,82.9,-5.72,0.1085,6.71,663.4,2,48.07,0,Low
LNP_05247,Kauffman2015,MC3,DSPC,Huh7,mRNA,43.95,18.15,0.83,37.06,0.4744,2.91,89.7,-3.42,0.0847,5.84,801.7,1,31.92,0,Low
LNP_05248,Dahlman2014,IM23,DPPC,RAW264.7,mRNA,40.03,14.47,1.79,43.7,0.7081,3.38,127.5,-3.51,0.2166,6.92,628.9,2,54.9,1,High
LNP_05249,Jayaraman2012,OF-02,DOPC,PC3,mRNA,49.15,14.55,1.45,34.85,0.2583,3.31,64.8,0.88,0.1644,6.02,756.9,2,48.82,0,Low
LNP_05250,Hassett2019,L319,DSPC,PC3,siRNA,45.93,16.54,1.04,36.5,0.5049,3.06,50.0,-2.13,0.2225,6.32,727.2,2,32.88,0,Low
LNP_05251,Kauffman2015,DLin-MC3-DMA,DPPC,Jurkat,mRNA,38.77,11.99,3.4,45.85,0.602,3.2,57.9,-2.74,0.2221,7.55,575.2,2,39.81,0,Low
LNP_05252,Hassett2019,cKK-E12,DOPE,PC3,mRNA,34.33,14.26,1.0,50.41,0.7228,2.88,87.3,-13.92,0.2418,5.69,866.3,3,40.42,0,Low
LNP_05253,Moderna2021,SM-102,DPPC,A549,siRNA,40.33,16.45,1.91,41.3,0.4737,5.03,60.2,-10.46,0.1945,6.3,703.9,3,45.46,0,Low
LNP_05254,Moderna2021,DLin-MC3-DMA,DOPE,HeLa,pDNA,40.76,16.86,1.86,40.52,0.6314,4.48,72.9,-1.52,0.1203,6.37,679.9,1,63.8,1,High
LNP_05255,Hassett2019,IM23,DSPC,HeLa,siRNA,43.06,10.39,1.27,45.28,0.6571,4.91,73.7,-3.88,0.0843,7.03,842.9,2,58.92,1,High
LNP_05256,Miao2020,L319,DSPC,Jurkat,mRNA,45.97,16.9,0.88,36.24,0.5217,4.11,79.7,-7.91,0.0665,6.25,687.4,2,49.42,0,Low
LNP_05257,Oberli2017,cKK-E12,DSPC,Huh7,mRNA,43.55,11.36,1.52,43.57,0.6093,6.83,90.4,-4.35,0.1069,6.74,652.3,1,62.01,1,High
LNP_05258,Moderna2021,L319,DPPC,A549,mRNA,52.08,8.97,1.4,37.55,0.4694,6.14,105.3,-18.99,0.1781,6.51,422.0,3,39.14,0,Low
LNP_05259,Kulkarni2019,DLin-MC3-DMA,DSPE,HEK293,siRNA,45.47,11.9,1.08,41.55,0.7753,5.77,134.5,-13.58,0.0954,7.17,742.6,4,59.78,1,High
LNP_05260,Kulkarni2019,OF-02,DOPC,RAW264.7,mRNA,43.77,11.75,0.6,43.89,0.6104,5.68,123.8,-11.3,0.1178,6.51,756.5,2,32.47,0,Low
LNP_05261,Kauffman2015,cKK-E12,DSPE,A549,pDNA,41.47,12.81,1.07,44.65,0.4708,5.73,89.2,0.49,0.0898,6.42,703.9,4,61.17,1,High
LNP_05262,Fenton2016,SM-102,DOPE,RAW264.7,mRNA,47.55,14.76,1.09,36.6,0.5618,4.27,89.3,0.95,0.1333,5.94,601.5,2,39.23,0,Low
LNP_05263,Miao2020,MC3,DOPC,Jurkat,mRNA,43.7,12.0,2.03,42.27,0.5865,4.56,109.9,-6.35,0.1161,6.21,527.2,3,57.18,1,High
LNP_05264,Hassett2019,C12-200,DOPE,Huh7,pDNA,38.89,17.61,3.75,39.75,0.5774,8.07,123.8,-5.15,0.1197,7.1,596.2,4,17.81,0,Low
LNP_05265,Oberli2017,L319,DPPC,Huh7,pDNA,41.59,20.94,1.73,35.73,0.6005,9.11,112.7,-3.81,0.1263,6.02,449.9,2,60.75,1,High
LNP_05266,Fenton2016,IM23,DOPE,MCF7,mRNA,44.27,12.51,0.99,42.24,0.539,5.77,112.3,-3.67,0.1959,5.72,596.1,3,37.86,0,Low
LNP_05267,Semple2010,A2-Iso5-2DC18,DOPC,HEK293,ASO,39.25,17.04,1.05,42.66,0.3184,3.68,132.8,9.88,0.1552,6.55,769.5,2,39.93,0,Low
LNP_05268,Jayaraman2012,A2-Iso5-2DC18,DSPC,PC3,mRNA,39.28,14.33,1.55,44.84,0.5882,6.14,99.9,-10.38,0.1866,6.08,663.2,3,25.01,0,Low
LNP_05269,Miao2020,C12-200,DPPC,MCF7,mRNA,42.88,14.53,1.13,41.46,0.6238,4.3,96.6,-2.48,0.0772,6.06,672.1,3,48.41,0,Low
LNP_05270,BioNTech2021,ALC-0315,DOPE,Jurkat,siRNA,43.17,17.32,1.1,38.41,0.3962,6.66,121.9,0.32,0.1534,6.39,676.3,4,44.0,1,High
LNP_05271,Kulkarni2019,DOTAP,DOPC,RAW264.7,siRNA,44.26,12.77,1.96,41.0,0.4027,10.33,84.8,-3.68,0.0906,6.34,646.4,1,54.81,1,High
LNP_05272,Semple2010,DLin-MC3-DMA,DPPC,A549,mRNA,46.9,11.05,1.76,40.29,0.3835,4.98,103.7,-2.44,0.1976,7.73,493.2,3,31.11,0,Low
LNP_05273,Patel2017,DLin-MC3-DMA,DOPE,Huh7,pDNA,41.44,14.0,1.49,43.07,0.5717,1.84,101.1,2.17,0.1177,5.33,376.0,1,22.65,0,Low
LNP_05274,Fenton2016,ALC-0315,DPPC,MCF7,siRNA,41.89,10.6,1.78,45.73,0.6359,2.55,95.4,-1.57,0.1301,6.36,651.5,2,59.68,1,High
LNP_05275,Oberli2017,ALC-0315,DSPE,RAW264.7,siRNA,44.23,17.72,1.85,36.21,0.7152,5.29,118.5,-1.63,0.1948,5.68,615.8,3,72.35,1,High
LNP_05276,Patel2017,IM23,DSPE,HeLa,pDNA,37.85,14.33,2.51,45.31,0.6397,5.79,84.0,-13.38,0.1407,6.24,576.7,1,76.0,1,High
