record_id,source,cell_line,IL_mol_pct,CHL_mol_pct,HL_mol_pct,PEG_mol_pct,Frac_sp3C,MW,LogP,pKa,HBD,HBA,RotBonds,TPSA,Size_nm,PDI,Zeta_mV,EE_pct,NP_ratio,efficacy
LNP_04232,Billingsley2020,HEK293,45.32,36.79,15.65,2.24,0.4108,576.39,13.044,5.998,4,8,15,79.9,108.1,0.1679,0.79,90.81,13.09,Medium
LNP_04233,Billingsley2020,HepG2,41.5,41.18,16.71,0.61,0.4251,669.33,12.199,7.16,2,2,6,52.16,82.1,0.1272,-3.62,97.35,6.04,High
LNP_04234,Sabnis2018,HepG2,51.33,35.67,11.99,1.01,0.6252,731.77,9.636,7.238,1,4,11,18.88,60.3,0.1041,-3.29,81.47,17.42,Medium
LNP_04235,Dahlman2017,PC3,44.39,36.87,17.42,1.32,0.6811,564.58,10.404,7.739,4,4,5,63.0,155.2,0.2536,8.13,94.48,1.05,Medium
LNP_04236,Hajj2019,A549,45.19,39.89,12.32,2.61,0.5366,541.77,7.482,6.533,1,5,6,68.28,65.3,0.1933,-9.45,90.82,19.39,High
LNP_04237,Miao2020,HeLa,48.74,33.56,16.39,1.31,0.6358,872.69,7.922,6.844,3,5,9,45.41,87.4,0.1011,-4.88,88.86,2.26,Medium
LNP_04238,Kauffman2015,PC3,47.15,34.96,16.31,1.58,0.5433,686.08,7.413,6.776,4,9,18,56.59,148.7,0.16,11.95,92.79,2.04,Medium
LNP_04239,Dahlman2017,HepG2,40.14,44.51,14.29,1.06,0.6338,583.16,7.909,6.769,3,6,13,53.1,83.1,0.0708,4.7,87.88,18.93,High
LNP_04240,Sabnis2018,HepG2,49.19,36.83,11.94,2.03,0.7124,943.13,8.463,8.061,4,2,17,32.24,104.5,0.2619,4.12,95.77,15.3,Low
LNP_04241,Hajj2019,HepG2,42.37,40.54,16.29,0.8,0.5683,694.77,11.516,6.257,0,3,14,48.65,55.7,0.0913,9.53,91.86,16.37,High
LNP_04242,Sabnis2018,A549,50.87,38.84,9.18,1.11,0.6222,593.21,9.573,6.105,0,5,16,74.05,83.0,0.1065,-6.6,97.32,6.29,High
LNP_04243,Kulkarni2019,Jurkat,52.36,37.43,8.41,1.8,0.4768,690.42,6.53,6.439,3,6,14,56.54,178.6,0.1366,-2.28,91.99,9.49,Medium
LNP_04244,Sabnis2018,RAW264.7,57.22,30.95,10.62,1.21,0.64,678.42,5.653,6.322,3,2,13,50.22,125.1,0.1485,-13.31,85.35,9.51,Low
LNP_04245,Hajj2019,RAW264.7,49.01,35.39,14.5,1.1,0.6095,791.7,7.386,6.289,3,6,10,27.35,160.8,0.0993,-12.49,94.74,2.89,High
LNP_04246,Dahlman2017,HeLa,45.84,41.57,10.28,2.31,0.6038,922.2,5.486,6.176,0,3,13,101.68,68.1,0.1969,7.36,94.13,8.61,Medium
LNP_04247,Kulkarni2019,HepG2,53.7,29.89,14.55,1.86,0.6058,784.57,8.251,6.705,0,5,10,77.29,63.4,0.175,-3.36,92.2,6.46,Low
LNP_04248,Miao2020,HepG2,45.81,42.22,8.97,3.01,0.5386,940.07,11.077,6.305,4,2,14,88.42,112.9,0.2171,0.09,82.32,11.02,Low
LNP_04249,Patel2020,HEK293,49.27,35.71,12.13,2.9,0.4762,613.31,8.476,7.335,1,3,8,75.08,78.0,0.1272,13.99,89.17,18.31,Medium
LNP_04250,Kauffman2015,RAW264.7,47.9,42.35,8.95,0.8,0.6552,641.15,8.57,6.74,1,8,5,62.95,57.7,0.2053,7.49,99.52,9.25,Medium
LNP_04251,Dahlman2017,MCF-7,41.03,40.96,15.9,2.11,0.5491,693.26,6.955,5.132,0,8,10,48.86,154.1,0.0585,-17.07,98.17,14.02,Low
LNP_04252,Patel2020,A549,45.03,37.94,15.75,1.28,0.517,814.66,5.821,5.301,3,6,11,71.93,89.4,0.1505,4.0,98.79,9.98,Medium
LNP_04253,Miao2020,HeLa,44.55,43.77,10.48,1.2,0.5833,446.42,8.275,7.048,1,6,19,68.36,86.5,0.0891,-1.26,92.34,10.7,Medium
LNP_04254,Miao2020,PC3,50.39,39.24,9.4,0.97,0.3986,797.15,6.056,6.014,2,3,18,71.06,130.5,0.0865,-7.25,90.95,11.67,High
LNP_04255,Billingsley2020,MCF-7,44.06,40.97,14.01,0.96,0.5982,725.01,7.741,7.335,3,3,10,73.1,110.1,0.1041,-1.39,97.17,17.21,High
LNP_04256,Sabnis2018,HepG2,50.06,35.66,13.22,1.06,0.5243,664.33,6.711,7.272,2,5,6,56.17,75.6,0.2035,9.16,89.71,11.85,Medium
LNP_04257,Billingsley2020,Jurkat,49.15,31.91,17.72,1.22,0.511,498.15,8.718,4.611,4,3,16,54.65,86.5,0.1519,-3.14,88.73,3.34,Low
LNP_04258,Patel2020,A549,44.86,40.7,12.66,1.78,0.4488,582.89,11.437,6.545,3,8,12,44.38,82.7,0.145,0.63,94.3,7.77,Medium
LNP_04259,Hajj2019,HepG2,42.16,36.92,19.29,1.63,0.5481,702.43,12.162,5.509,4,9,7,97.28,132.3,0.0921,-2.6,85.23,13.31,Low
LNP_04260,Billingsley2020,HepG2,45.05,34.57,17.91,2.47,0.526,762.75,8.114,5.657,2,5,7,57.71,85.9,0.0826,2.84,94.44,1.7,Low
LNP_04261,Kulkarni2019,HeLa,47.47,40.84,9.58,2.1,0.7208,504.64,8.239,6.652,3,9,8,80.5,63.3,0.0817,11.36,88.85,18.95,High
LNP_04262,Kulkarni2019,HeLa,46.38,41.94,9.41,2.27,0.7479,736.05,6.024,6.795,3,7,12,32.62,90.4,0.0811,3.23,95.46,10.03,High
LNP_04263,Billingsley2020,HEK293,44.41,42.11,11.55,1.93,0.5669,532.61,8.191,6.204,0,2,9,40.33,67.3,0.1115,7.43,99.06,12.03,Low
LNP_04264,Fenton2016,HeLa,48.7,39.07,8.14,4.09,0.5242,687.06,10.348,7.056,4,4,13,45.15,143.9,0.1355,-4.99,94.43,14.22,Low
LNP_04265,Dahlman2017,PC3,49.79,35.68,13.56,0.97,0.5206,407.08,8.966,5.901,4,7,16,60.47,137.7,0.0917,20.95,88.15,11.9,High
LNP_04266,Billingsley2020,HEK293,52.91,38.52,6.88,1.69,0.411,560.04,8.045,5.791,1,9,16,68.43,58.2,0.081,3.68,88.75,10.55,Low
LNP_04267,Sabnis2018,PC3,47.04,36.13,12.96,3.87,0.597,668.58,11.31,7.031,1,6,10,32.54,85.9,0.0998,-10.33,87.78,13.31,Low
LNP_04268,Miao2020,HeLa,49.29,34.35,14.48,1.87,0.646,850.7,10.743,6.681,3,9,17,37.13,100.7,0.0967,6.1,87.26,15.33,High
LNP_04269,Kulkarni2019,RAW264.7,44.69,38.62,15.87,0.82,0.5108,702.75,9.261,7.974,0,5,19,93.32,72.4,0.069,-0.7,92.6,17.09,Medium
LNP_04270,Hajj2019,MCF-7,36.75,43.05,17.93,2.27,0.4874,769.28,6.639,7.002,2,3,14,64.09,79.7,0.0724,16.17,97.55,3.25,Medium
LNP_04271,Patel2020,Jurkat,46.52,38.48,12.92,2.08,0.5529,658.62,10.004,6.345,3,4,6,54.67,84.2,0.1623,11.78,88.46,14.3,Medium
LNP_04272,Hajj2019,Jurkat,52.68,33.25,13.08,0.99,0.6716,421.41,8.403,6.408,3,7,11,80.56,120.2,0.1271,-8.7,96.73,18.76,High
LNP_04273,Miao2020,HepG2,44.26,41.77,12.39,1.58,0.6188,754.24,9.148,7.175,1,4,15,74.67,74.2,0.1041,-4.78,97.97,1.89,Medium
LNP_04274,Kulkarni2019,PC3,40.85,38.55,17.83,2.76,0.6669,567.55,5.158,6.922,2,7,11,101.21,112.8,0.0629,8.24,91.6,8.57,Medium
LNP_04275,Kulkarni2019,HeLa,47.23,42.15,9.17,1.46,0.5995,763.56,9.491,7.776,3,6,14,49.21,154.7,0.1209,6.52,77.5,8.35,Medium
LNP_04276,Sabnis2018,PC3,46.99,35.61,16.17,1.24,0.5162,698.28,7.198,7.107,1,2,13,33.05,112.0,0.0847,1.84,83.17,16.55,High
LNP_04277,Hajj2019,HeLa,45.14,40.18,13.42,1.26,0.5044,672.51,9.284,5.754,3,7,8,31.9,130.9,0.1995,-0.76,79.5,4.95,High
LNP_04278,Dahlman2017,HEK293,43.29,44.13,10.15,2.43,0.5734,311.7,7.885,5.722,1,6,18,45.24,115.9,0.2169,0.02,92.5,9.65,Low
LNP_04279,Sabnis2018,HeLa,52.23,38.19,8.6,0.97,0.5219,762.84,8.192,6.754,2,5,10,59.38,87.6,0.1804,9.73,98.97,4.67,High
LNP_04280,Miao2020,Jurkat,51.47,39.76,8.12,0.64,0.6204,929.49,9.207,6.043,0,3,7,63.14,62.1,0.0843,4.03,95.89,3.47,Medium
LNP_04281,Kauffman2015,HEK293,40.33,45.41,11.14,3.13,0.5629,624.19,7.316,5.989,3,7,17,76.45,131.5,0.142,10.08,81.42,2.81,Low
LNP_04282,Billingsley2020,RAW264.7,44.96,38.22,16.21,0.61,0.3969,652.01,10.376,7.023,1,8,11,26.08,100.9,0.1688,-12.7,97.82,4.56,Low
LNP_04283,Kulkarni2019,MCF-7,48.06,38.82,11.45,1.67,0.6643,794.69,5.791,6.182,1,5,6,48.91,156.5,0.1917,-9.57,80.49,9.26,Medium
LNP_04284,Kulkarni2019,PC3,50.53,34.27,13.55,1.65,0.6012,610.9,6.42,6.282,2,6,18,46.18,92.1,0.1667,3.27,83.44,11.14,Medium
LNP_04285,Hajj2019,HEK293,51.13,34.18,12.62,2.06,0.724,569.09,6.339,6.353,4,2,5,68.62,74.5,0.0784,4.15,84.53,6.44,High
LNP_04286,Hajj2019,MCF-7,48.78,37.73,12.14,1.36,0.5732,511.21,6.821,7.422,4,5,17,31.82,57.9,0.1706,5.64,90.57,12.98,High
LNP_04287,Fenton2016,A549,49.15,32.13,15.48,3.25,0.636,730.55,8.695,6.725,0,2,9,31.26,114.8,0.1683,0.5,88.5,8.45,Low
LNP_04288,Kulkarni2019,HeLa,47.94,39.76,10.53,1.77,0.5148,577.38,8.741,5.911,0,2,6,51.25,154.8,0.1752,-3.76,89.79,17.16,Medium
LNP_04289,Miao2020,MCF-7,49.89,32.32,15.26,2.53,0.5334,614.21,7.176,7.219,1,9,14,25.91,130.3,0.1343,1.92,96.69,7.0,Low
LNP_04290,Oberli2017,RAW264.7,45.96,43.74,8.89,1.4,0.6439,625.33,9.454,6.233,4,6,18,72.14,101.4,0.1494,-5.06,88.05,17.23,Medium
LNP_04291,Billingsley2020,RAW264.7,52.21,30.3,15.42,2.07,0.6429,522.69,6.017,7.025,4,9,17,58.0,142.0,0.0845,6.86,92.54,11.5,Medium
LNP_04292,Hajj2019,HepG2,42.02,45.77,11.0,1.21,0.4101,678.48,9.791,5.977,3,7,7,60.93,103.5,0.0849,5.82,93.48,13.87,Low
LNP_04293,Dahlman2017,A549,55.37,33.68,9.92,1.03,0.6547,791.08,6.073,7.482,1,3,7,92.46,186.3,0.1545,-3.82,98.83,6.61,Low
LNP_04294,Billingsley2020,RAW264.7,47.54,37.81,13.93,0.71,0.5007,610.82,7.51,7.163,0,5,9,117.06,185.1,0.0655,5.1,75.97,10.8,Medium
LNP_04295,Sabnis2018,RAW264.7,44.36,45.06,8.47,2.12,0.5246,685.88,10.145,6.182,1,3,7,118.47,55.9,0.1614,10.77,90.86,10.84,Low
LNP_04296,Sabnis2018,MCF-7,48.79,38.75,11.77,0.69,0.6969,571.12,8.698,6.055,0,3,13,74.57,109.0,0.0761,6.42,95.84,10.24,High
LNP_04297,Dahlman2017,HepG2,49.95,34.65,14.69,0.71,0.5417,600.02,10.664,7.937,3,7,10,58.56,119.0,0.1927,-2.94,85.93,7.65,Low
LNP_04298,Hajj2019,HeLa,42.81,36.64,18.8,1.75,0.4991,824.16,6.815,6.929,2,3,8,45.23,100.0,0.094,-7.26,94.51,6.59,Medium
LNP_04299,Billingsley2020,HeLa,45.31,44.23,7.95,2.51,0.5309,570.31,9.687,7.666,4,4,8,35.74,89.0,0.1579,7.33,93.88,17.1,Low
LNP_04300,Hajj2019,Jurkat,47.04,38.81,12.12,2.02,0.4645,711.29,7.663,6.134,0,9,10,96.63,137.9,0.1735,-1.16,82.34,9.37,High
LNP_04301,Oberli2017,MCF-7,53.01,39.21,7.14,0.64,0.5253,722.82,6.506,7.518,2,9,10,82.67,102.8,0.1151,3.76,98.04,14.4,Low
LNP_04302,Dahlman2017,Jurkat,44.01,40.15,14.15,1.68,0.6081,711.95,8.244,7.421,3,2,18,46.31,89.3,0.0989,12.36,95.37,8.84,High
LNP_04303,Kauffman2015,Jurkat,48.36,35.03,13.3,3.31,0.5409,850.86,9.926,5.801,1,7,15,58.65,101.0,0.1307,2.66,93.1,6.22,Medium
LNP_04304,Dahlman2017,MCF-7,49.74,31.47,18.07,0.72,0.6006,581.83,9.538,5.982,3,8,5,60.01,76.9,0.1117,-6.73,99.11,8.3,Low
LNP_04305,Kulkarni2019,Jurkat,50.6,37.23,9.12,3.05,0.5201,804.04,8.946,6.952,4,8,8,33.42,95.7,0.2291,3.78,92.33,11.74,Medium
LNP_04306,Miao2020,MCF-7,42.84,41.26,13.83,2.08,0.6652,644.39,11.557,6.493,0,5,11,68.64,104.3,0.1378,16.92,95.63,12.25,Medium
LNP_04307,Patel2020,Jurkat,43.65,38.53,16.87,0.95,0.4957,719.88,8.949,5.811,1,3,15,46.02,90.0,0.1032,-4.66,89.24,13.88,High
LNP_04308,Kulkarni2019,HEK293,43.19,45.84,9.49,1.49,0.6681,716.73,11.242,6.073,4,8,13,96.93,100.4,0.0731,7.71,95.09,7.15,Low
LNP_04309,Dahlman2017,MCF-7,51.51,38.49,7.68,2.32,0.6176,569.07,8.219,6.183,2,6,15,52.73,92.9,0.2173,-0.65,93.14,14.24,Low
LNP_04310,Kauffman2015,PC3,45.59,39.1,14.15,1.16,0.6598,719.01,7.99,7.583,2,9,13,60.82,87.3,0.2184,-8.0,98.33,1.69,Medium
LNP_04311,Miao2020,HeLa,51.95,37.38,9.13,1.53,0.542,778.89,11.961,5.759,2,9,7,36.79,95.6,0.2042,12.59,92.75,14.3,Low
LNP_04312,Fenton2016,RAW264.7,46.73,39.03,11.89,2.35,0.4961,462.57,8.828,6.305,0,9,6,64.89,94.3,0.1422,-1.16,85.68,18.84,High
LNP_04313,Oberli2017,HeLa,48.84,39.1,10.33,1.73,0.635,331.7,9.047,6.913,4,8,19,39.33,129.3,0.0791,-15.67,97.95,8.3,High
LNP_04314,Miao2020,PC3,46.39,37.82,12.49,3.31,0.5998,583.16,10.531,6.213,3,6,8,78.34,65.9,0.1355,2.48,93.16,14.81,Low
LNP_04315,Dahlman2017,A549,40.74,42.85,14.53,1.88,0.6719,637.71,9.054,6.402,1,5,19,38.46,93.2,0.2822,3.83,85.82,5.33,Medium
LNP_04316,Kauffman2015,HepG2,54.51,37.26,7.03,1.19,0.5856,797.79,11.194,7.039,0,8,19,48.1,78.6,0.2116,2.72,94.6,4.14,Low
LNP_04317,Dahlman2017,HEK293,46.54,37.46,15.01,0.99,0.6942,506.33,6.498,5.574,2,3,18,78.12,74.4,0.0969,-3.25,93.94,4.16,High
LNP_04318,Dahlman2017,HepG2,48.86,34.54,14.94,1.66,0.6812,480.77,9.249,6.015,3,8,13,85.32,89.1,0.0641,-12.79,95.8,2.47,High
LNP_04319,Dahlman2017,HeLa,41.63,37.3,19.03,2.04,0.6892,759.09,6.402,5.852,1,8,8,86.06,106.8,0.1197,1.31,92.71,14.41,High
LNP_04320,Kauffman2015,HEK293,50.41,39.7,7.65,2.24,0.5734,663.95,9.071,6.167,0,3,16,78.13,90.8,0.1203,6.45,88.85,17.52,Medium
LNP_04321,Kulkarni2019,RAW264.7,46.23,43.11,8.22,2.44,0.6089,548.3,10.763,6.613,3,4,16,34.21,162.5,0.0788,11.31,88.19,13.19,Medium
LNP_04322,Dahlman2017,HeLa,47.73,40.06,10.6,1.62,0.4069,708.72,12.444,7.027,3,2,16,67.86,94.6,0.1903,-3.36,98.72,16.8,Medium
LNP_04323,Patel2020,RAW264.7,47.14,35.95,15.49,1.42,0.5245,635.56,9.694,7.222,4,9,19,82.66,118.5,0.1892,1.25,94.35,5.54,High
LNP_04324,Kauffman2015,PC3,49.25,39.97,9.39,1.39,0.5601,406.03,9.53,5.777,4,2,12,59.07,114.2,0.1458,-3.65,94.38,16.95,Low
LNP_04325,Hajj2019,MCF-7,50.32,32.4,16.62,0.66,0.6234,651.94,9.501,6.805,1,9,13,109.51,97.8,0.1102,-2.14,94.56,5.99,Medium
LNP_04326,Billingsley2020,HepG2,47.76,38.98,11.82,1.44,0.5699,611.22,9.272,6.59,3,7,18,20.07,83.4,0.0826,3.76,92.31,8.49,High
LNP_04327,Fenton2016,HepG2,39.58,49.36,9.41,1.64,0.6428,546.55,6.858,6.983,3,2,11,105.5,116.8,0.0684,2.0,98.01,2.47,Low
LNP_04328,Miao2020,HepG2,47.0,42.65,9.47,0.88,0.6531,563.13,11.031,5.747,1,7,15,66.18,71.4,0.13,-8.99,93.08,1.3,Low
LNP_04329,Dahlman2017,PC3,45.94,35.12,17.98,0.96,0.5752,532.55,11.329,7.114,0,4,13,38.1,116.3,0.1869,-6.12,87.53,18.27,Medium
LNP_04330,Sabnis2018,Jurkat,48.18,39.73,9.98,2.11,0.5138,445.31,10.32,5.967,1,6,11,72.22,124.0,0.095,-5.7,83.39,5.53,Low
LNP_04331,Fenton2016,HEK293,45.56,41.7,11.54,1.21,0.4697,652.53,7.6,6.679,2,9,6,52.59,76.8,0.1189,18.91,88.87,14.39,Low
LNP_04332,Billingsley2020,PC3,43.57,38.29,17.06,1.09,0.6146,662.51,8.954,5.458,2,9,11,44.39,64.1,0.0819,-9.12,90.8,8.03,Low
LNP_04333,Oberli2017,RAW264.7,47.35,35.77,15.57,1.32,0.613,832.26,4.822,6.988,2,7,16,27.61,97.9,0.1029,2.78,89.03,3.0,High
LNP_04334,Patel2020,HEK293,49.28,32.38,14.83,3.51,0.5996,606.9,10.988,5.995,1,9,19,26.47,86.5,0.1695,1.74,94.98,3.89,Low
LNP_04335,Patel2020,MCF-7,44.07,35.07,19.74,1.13,0.5248,545.94,7.245,6.442,4,7,16,75.46,106.9,0.0918,-8.87,89.1,10.66,High
LNP_04336,Patel2020,RAW264.7,51.11,39.1,8.08,1.71,0.6041,457.17,9.974,7.2,2,4,19,77.09,81.5,0.2036,3.41,95.56,7.06,Low
LNP_04337,Billingsley2020,MCF-7,45.24,37.91,13.97,2.87,0.7075,832.07,10.299,7.295,2,8,11,67.32,72.7,0.1117,13.54,88.47,4.86,Medium
LNP_04338,Patel2020,Jurkat,52.03,32.69,13.23,2.05,0.7317,666.81,6.047,6.003,2,4,6,43.56,121.8,0.0782,9.09,93.69,3.13,High
LNP_04339,Sabnis2018,Jurkat,45.92,42.89,10.38,0.81,0.7149,763.19,8.799,6.265,2,9,11,58.35,137.7,0.1346,-0.29,91.96,12.22,Medium
LNP_04340,Dahlman2017,MCF-7,47.6,37.53,13.06,1.81,0.5808,751.68,8.752,8.099,4,4,6,29.92,163.0,0.1015,9.95,94.34,4.77,Low
LNP_04341,Hajj2019,A549,51.47,36.97,10.9,0.67,0.7197,784.46,8.072,8.016,0,3,17,81.92,70.6,0.1502,-3.27,87.83,11.6,Low
LNP_04342,Patel2020,HepG2,45.22,32.85,20.75,1.18,0.5876,881.83,11.707,5.874,2,2,10,76.23,74.4,0.1456,-13.47,87.77,5.44,Low
LNP_04343,Sabnis2018,HepG2,43.23,41.17,14.16,1.45,0.7028,692.76,6.552,5.396,1,3,17,88.85,122.9,0.066,2.44,94.1,13.93,Medium
LNP_04344,Hajj2019,PC3,42.27,41.78,15.17,0.78,0.6705,553.71,6.439,7.289,4,5,16,85.62,119.8,0.0839,10.75,94.26,19.76,High
LNP_04345,Patel2020,MCF-7,48.95,38.82,10.4,1.83,0.6774,572.18,8.673,6.952,3,4,10,63.17,111.8,0.1575,-8.82,89.64,16.03,High
LNP_04346,Miao2020,HeLa,49.21,38.06,10.54,2.2,0.5252,699.71,8.202,6.829,1,7,11,63.65,70.8,0.1007,3.42,97.0,2.87,High
LNP_04347,Fenton2016,RAW264.7,41.39,40.06,17.67,0.87,0.4329,611.5,6.639,7.6,3,8,12,48.0,94.9,0.1072,12.54,98.25,7.59,Low
LNP_04348,Billingsley2020,MCF-7,49.15,39.6,9.8,1.45,0.6288,532.04,5.207,7.104,0,8,6,21.08,43.7,0.1489,15.07,94.38,8.96,High
LNP_04349,Dahlman2017,HepG2,46.17,41.57,11.4,0.86,0.4147,538.31,8.917,7.348,3,2,8,81.57,95.4,0.1068,6.29,98.28,19.19,High
LNP_04350,Billingsley2020,MCF-7,48.36,42.17,7.87,1.6,0.523,624.08,8.96,5.61,0,6,16,81.19,152.7,0.2462,7.44,91.65,17.94,Low
LNP_04351,Kulkarni2019,HeLa,43.75,44.45,9.87,1.93,0.5823,813.07,7.404,6.756,1,4,17,83.29,144.0,0.1662,-10.02,95.98,19.42,Low
LNP_04352,Miao2020,A549,43.84,39.54,15.67,0.95,0.4476,520.75,9.827,6.828,4,3,12,82.24,117.7,0.1275,4.24,78.86,16.72,High
LNP_04353,Miao2020,HepG2,46.1,39.1,14.06,0.73,0.6457,666.38,6.548,7.107,1,6,17,28.31,88.2,0.1406,6.23,90.54,12.55,Medium
LNP_04354,Miao2020,A549,41.24,43.96,12.64,2.16,0.6144,592.75,10.311,7.016,4,8,19,62.77,101.7,0.143,7.58,82.54,15.9,Medium
LNP_04355,Dahlman2017,A549,48.37,38.89,11.96,0.78,0.7257,681.34,8.262,5.851,3,4,18,66.13,95.2,0.1462,2.16,89.24,2.91,High
LNP_04356,Hajj2019,A549,49.5,36.73,12.33,1.44,0.6097,564.52,9.459,6.252,4,8,13,113.33,108.5,0.1151,2.52,85.86,8.0,High
LNP_04357,Hajj2019,HEK293,49.48,37.34,11.79,1.39,0.6209,774.34,5.47,6.374,0,9,17,38.11,87.1,0.2349,-1.24,99.12,18.79,High
LNP_04358,Patel2020,Jurkat,40.58,46.37,11.55,1.5,0.5728,753.81,6.991,6.504,4,9,17,63.6,75.2,0.2124,-2.57,97.25,11.93,Low
LNP_04359,Miao2020,MCF-7,44.68,38.78,15.38,1.15,0.5351,496.42,4.829,5.825,4,8,14,36.83,119.0,0.1131,-9.72,88.02,12.15,High
LNP_04360,Hajj2019,A549,43.73,39.97,14.24,2.05,0.6145,617.65,9.147,5.95,2,2,6,42.96,61.0,0.14,6.79,88.04,18.44,Low
LNP_04361,Kulkarni2019,PC3,51.94,34.9,11.88,1.28,0.6502,611.86,5.615,5.566,3,5,10,23.4,164.9,0.1588,1.64,96.81,7.06,Medium
LNP_04362,Miao2020,MCF-7,45.3,38.47,14.27,1.95,0.6833,767.49,10.401,6.594,4,7,18,50.65,103.1,0.1445,-1.99,85.08,5.0,High
LNP_04363,Miao2020,Jurkat,46.28,40.03,12.92,0.77,0.4645,489.19,7.273,7.178,4,9,14,39.84,157.4,0.1479,11.5,93.74,10.72,Low
LNP_04364,Sabnis2018,HeLa,39.75,48.59,9.63,2.03,0.6081,628.12,7.276,5.524,0,4,11,54.65,87.1,0.178,-3.14,96.62,7.61,Low
LNP_04365,Miao2020,RAW264.7,47.71,39.63,11.17,1.48,0.6756,644.29,9.623,8.108,1,5,11,44.3,163.7,0.0755,13.5,85.33,9.73,High
LNP_04366,Dahlman2017,A549,42.15,44.13,12.69,1.03,0.4362,467.53,10.744,8.18,1,6,15,70.62,132.0,0.0702,0.3,98.38,9.12,Low
LNP_04367,Kulkarni2019,PC3,42.91,44.26,12.16,0.67,0.5337,632.16,9.611,7.128,0,8,14,55.24,106.2,0.1668,7.01,84.49,6.77,Low
LNP_04368,Kauffman2015,Jurkat,49.0,42.0,7.64,1.36,0.4492,689.02,9.172,5.942,3,4,9,64.51,54.6,0.2417,1.14,97.23,9.36,Low
LNP_04369,Sabnis2018,HeLa,46.31,39.41,13.65,0.63,0.4437,851.41,8.228,6.266,0,6,6,61.89,80.8,0.1723,14.42,96.0,4.67,Medium
LNP_04370,Hajj2019,Jurkat,46.88,41.36,11.09,0.66,0.5819,720.29,8.228,5.934,3,3,14,83.26,166.0,0.1185,-5.56,91.77,16.16,Low
LNP_04371,Billingsley2020,HepG2,42.64,46.3,9.31,1.75,0.5234,732.63,9.529,7.38,4,3,10,24.22,102.9,0.1125,15.76,88.99,10.8,Low
LNP_04372,Fenton2016,A549,51.95,37.06,9.38,1.61,0.5433,509.43,9.71,6.038,1,7,16,34.13,84.4,0.1063,12.5,89.63,17.13,Medium
LNP_04373,Fenton2016,MCF-7,47.15,35.82,15.21,1.83,0.7172,575.7,10.585,7.454,2,7,16,73.35,109.4,0.1064,-1.1,84.73,19.02,Medium
LNP_04374,Kulkarni2019,Jurkat,45.51,42.56,10.72,1.21,0.5534,821.55,10.47,4.96,4,8,18,69.07,71.3,0.0876,3.24,88.9,6.75,Low
LNP_04375,Miao2020,HeLa,45.5,46.36,6.87,1.27,0.5666,501.08,9.153,6.545,4,5,17,44.94,214.8,0.1024,3.13,91.96,18.98,Low
LNP_04376,Dahlman2017,PC3,48.68,37.97,11.22,2.13,0.6236,604.48,5.849,5.627,3,5,15,63.66,102.2,0.1341,-5.94,97.55,4.02,Medium
LNP_04377,Miao2020,Jurkat,43.51,43.92,11.86,0.71,0.4755,791.41,12.583,6.025,3,8,13,70.94,45.0,0.1277,-0.1,98.67,17.25,High
LNP_04378,Miao2020,HEK293,50.86,41.04,6.98,1.11,0.5135,609.59,5.878,7.999,0,2,17,36.5,54.6,0.1177,-4.41,94.68,16.18,Low
LNP_04379,Dahlman2017,PC3,42.19,45.66,11.24,0.91,0.6501,633.9,10.674,5.917,3,4,16,67.81,87.2,0.097,23.52,99.78,16.24,Low
LNP_04380,Kulkarni2019,A549,49.4,42.2,7.74,0.66,0.5458,611.83,5.873,6.2,3,7,12,18.62,87.5,0.1243,5.37,91.14,19.38,High
LNP_04381,Patel2020,MCF-7,51.97,36.78,10.27,0.98,0.5675,768.38,8.53,7.465,2,5,17,42.95,124.5,0.1035,5.14,84.38,5.56,Medium
LNP_04382,Miao2020,MCF-7,42.13,46.06,9.26,2.55,0.4868,620.67,8.335,6.826,3,2,9,23.58,124.4,0.123,-10.22,97.04,13.23,Low
LNP_04383,Oberli2017,A549,49.14,35.06,15.06,0.73,0.6977,775.81,9.52,5.314,1,5,8,69.07,75.2,0.1314,-1.64,91.93,2.76,Medium
LNP_04384,Patel2020,PC3,45.43,37.46,16.03,1.07,0.5302,545.03,13.208,6.554,3,9,13,41.77,120.5,0.2192,6.38,96.17,6.68,High
LNP_04385,Patel2020,HeLa,45.26,37.66,13.86,3.22,0.6322,855.23,9.48,7.647,1,6,6,12.97,119.3,0.2174,14.92,91.39,11.33,Low
LNP_04386,Fenton2016,RAW264.7,37.21,50.39,10.02,2.39,0.5961,689.36,9.331,4.843,1,4,18,68.35,101.5,0.1527,-5.39,91.85,1.05,Low
LNP_04387,Oberli2017,HepG2,50.95,37.11,9.64,2.3,0.6319,514.24,10.444,7.125,0,9,18,66.19,83.7,0.1449,13.18,96.79,5.2,Medium
LNP_04388,Dahlman2017,A549,53.01,38.52,7.74,0.73,0.6573,754.03,11.05,5.357,1,2,16,54.88,112.8,0.182,-13.3,94.61,17.21,Low
LNP_04389,Oberli2017,HeLa,44.13,43.69,10.82,1.36,0.4978,709.6,10.436,7.263,3,3,9,75.01,107.9,0.1169,9.09,90.0,9.83,Low
LNP_04390,Kulkarni2019,MCF-7,51.05,39.07,8.91,0.97,0.6918,647.7,9.316,5.991,2,6,16,51.65,138.0,0.1036,8.58,92.8,16.76,High
